,company,release_date,title_in_short,game_title,english_title,vndb_link,script_extracted,others_extracted,trial_extractable
0,inre,2013-05-31,chusingura,Chusingura46+1,ChuSinGura 46+1 Bushi no Kodou,https://vndb.org/v12260,○,○,
1,inre,2014-11-28,chusingura_fd,Chusingura46+1_FD,ChuSinGura 46+1 Bushi no Kodou,https://vndb.org/v15493,○,○,
2,inre,2017-12-22,miburo,miburo,Bakumatsu Jinchuu Houkoku Resshiden Miburo,https://vndb.org/v18953,○,○,
3,inre,2015-11-27,bokukimi,僕は君だけをみつめる,Boku wa Kimi dake o Mitsumeru ~I Gaze at Only You~,https://vndb.org/v9736,○,○,
4,parasol,2010-02-26,majicara,まじからっと☆れいでぃあんと,Magicarat☆Radiant,https://vndb.org/v3345,○,○,
5,parasol,2011-05-27,delivara,でりばらっ！-deliverance of strays-,Derivara! -deliverance of strays-,https://vndb.org/v5855,○,○,
6,parasol,2017-09-29,sakura,桜ひとひら恋もよう,Sakura Hitohira Koi Moyou,https://vndb.org/v20491,○,○,
7,parasol,2017-01-27,kanoren,彼女と俺の恋愛日常,Kanojo to Ore no Lovely Day,https://vndb.org/v19712,○,○,
8,parasol,2015-12-25,qsplash,QUINTUPLE☆SPLASH,Quintuple ☆ Splash,https://vndb.org/v18170,○,○,
9,parasol,2014-08-29,haruno,晴のちきっと菜の花びより,Hare Nochi Kitto Nanohana Biyori,https://vndb.org/v14886,○,○,
10,parasol,2013-05-31,yumekoi,ゆめこい〜夢見る魔法少女と恋の呪文〜,Yumekoi ~Yume Miru Mahou Shoujo to Koi no Jumon~,https://vndb.org/v12000,○,○,
11,parasol,2012-05-25,koiimo,恋妹SWEET☆DAYS,Koiimo Sweet ☆ Days,https://vndb.org/v9095,○,○,
13,alcot,2016-11-25,yomegami,よめがみ,Yomegami: Mu Sweet Goddess!,https://vndb.org/v19686,-,○,
14,alcot_honey_comb,2009-07-24,kurenai_no_tsuki,クレナイノツキ,Kurenai no Tsuki,https://vndb.org/v2031,○,○,
15,alcot,2006-11-22,natsupochi,なつぽち,Natsupochi,https://vndb.org/v413,○,○,
16,alcot,2007-12-14,fair_child,FairChild,Fair Child,https://vndb.org/v325,○,○,
17,alcot,2011-03-31,onigokko,鬼ごっこ！,Onigokko!,https://vndb.org/v5549,○,○,
18,alcot,2011-09-30,onigokko_fd,鬼ごっこ！ファンディスク,Onigokko! Fandisc,https://vndb.org/v7625,○,○,
19,alcot,2009-10-30,daitouryou,幼馴染は大統領 My girlfriend is the PRESIDENT.,Osananajimi wa Daitouryou ~My Girlfriend is the President.~ ,https://vndb.org/v2622,○,○,
20,alcot,2010-08-13,daitouryou_fd,幼馴染は大統領 My girlfriend is the PRESIDENT.ファンディスク,Osananajimi wa Daitouryou ~My Girlfriend is the President.~ Fandisc,https://vndb.org/v4981,○,○,
21,alcot_honey_comb,2010-11-26,kicking_horse,キッキングホース★ラプソディ,Kicking Horse Rhapsody,https://vndb.org/v5246,○,○,
22,alcot_honey_comb,2012-06-29,1_2summer,1/2summer,½ Summer,https://vndb.org/v9125,○,○,
23,alcot_honey_comb,2010-05-28,realimouto,リアル妹がいる大泉くんの場合,Real Imouto ga Iru Ooizumi-kun no Baai,https://vndb.org/v3746,○,○,
24,alcot_honey_comb,2011-11-25,shunki_gentei,春季限定ポコ・ア・ポコ！,Shunki Gentei Poco a Poco!,https://vndb.org/v7786,○,○,
25,akabe_soft2,2006-03-24,sono_yokogao,その横顔を見つめてしまう〜A profile 完全版〜,A Profile,https://vndb.org/v1894,○,○,
26,akabe_soft2,2010-06-24,lavender,光輪の町、ラベンダーの少女,"Kourin no Machi, Lavender no Shoujo",https://vndb.org/v3095,○,○,
27,akabe_soft2,2006-09-29,konboku,こんな娘がいたら僕はもう……！！,"Konna Ko ga Itara, Boku wa Mou...!!",https://vndb.org/v86,○,○,
28,akabe_soft2,2010-05-27,okibaganai,置き場がない！,Okiba ga Nai!,https://vndb.org/v7810,○,○,
29,akabe_soft2,2011-11-25,yayaokibaganai,やや置き場がない！,Yaya Okiba ga Nai!,https://vndb.org/v7810,○,○,
30,uguisukagura,2014-12-19,kaminoue,紙の上の魔法使い,Kami no Ue no Mahoutsukai,https://vndb.org/v15871,○,○,
31,uguisukagura,2017-03-24,suisoginka,水葬銀貨のイストリア,Suiso Ginka no Istoria,https://vndb.org/v20471,○,○,
32,uguisukagura,2018-10-19,parallelogram,空に刻んだパラレログラム,Sora ni Kizanda Parallelogram,https://vndb.org/v23908,○,○,
33,lose,2013-10-25,monobeno,ものべの -happy end-,Monobeno -Happy End-,https://vndb.org/v12392,-,○,
34,lose,2016-03-25,maitetsu,まいてつ,Maitetsu,https://vndb.org/v18131,-,○,
35,ゆずソフト,2013-07-26,amairo,天色*アイルノーツ,Amairo * Islenauts,https://vndb.org/v12167,-,○,
36,ゆずソフト,2012-03-30,dracuriot,DRACURIOT,Dracu-Riot!,https://vndb.org/v8213,-,○,
42,alcot,2014-03-28,clover_days,Clover Day’s,Clover Day’s,https://vndb.org/v13325,-,○,scn
51,akabe_soft2,2007-07-26,tamayura,魂響 ～円環の絆～,Tamayura ~Enkan no Kizuna~,https://vndb.org/v85,○,○,
52,akabe_soft2,2005-11-25,sharin_no_kuni,車輪の国、向日葵の少女,"Sharin no Kuni, Himawari no Shoujo",https://vndb.org/v57,○,○,画像はtlg
54,akabe_soft2,2007-01-26,sharin_no_kuni_fd,車輪の国、悠久の少年少女,"Sharin no Kuni, Yuukyuu no Shounenshoujo",https://vndb.org/v84,○,○,
55,akabe_soft2,2008-05-29,gsenjo_no_maou,G線上の魔王,G-senjou no Maou,https://vndb.org/v211,○,○,○
56,akabe_soft2,2009-03-26,wlo,W.L.O.世界恋愛機構 未来のために、いま恋をしよう。,W.L.O. Sekai Ren’ai Kikou,https://vndb.org/v481,○,○,○
58,ninetail,2006-09-22,kikaijikake_no_eve,機械仕掛けのイブ,Kikaijikake no Eve -Dea Ex Machina-,https://vndb.org/v568,○,○,○
